Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood
S00079,49,Female,Postgraduate,Python Basics,183,3,61,5,100,Medium,95,Auditory,5,No
S00080,47,Male,High School,Data Science,310,3,75,5,100,Low,100,Reading/Writing,5,Yes
S00081,19,Male,Undergraduate,Data Science,324,1,81,12,61,Medium,100,Auditory,5,No
S00082,42,Female,Undergraduate,Machine Learning,192,3,78,2,67,Medium,91,Visual,5,No
S00083,21,Female,Undergraduate,Python Basics,368,1,70,2,100,Medium,100,Visual,5,No
S00084,23,Female,Postgraduate,Machine Learning,260,1,78,6,74,High,100,Kinesthetic,3,No
S00085,22,Male,High School,Machine Learning,50,5,79,7,92,Medium,62,Reading/Writing,3,No
S00086,26,Female,High School,Python Basics,365,2,50,4,76,High,100,Auditory,5,No
S00087,48,Female,Undergraduate,Data Science,188,1,58,4,64,Medium,85,Visual,5,No
S00088,47,Male,Undergraduate,Data Science,195,3,58,6,100,Medium,83,Visual,5,No
S00089,37,Female,Undergraduate,Python Basics,368,5,88,5,72,High,100,Visual,5,No
S00090,38,Female,High School,Python Basics,265,3,51,6,78,Medium,98,Auditory,5,No
S00091,49,Female,High School,Data Science,391,2,49,4,62,High,100,Auditory,5,Yes
S00092,36,Female,High School,Python Basics,421,4,70,6,65,Medium,100,Reading/Writing,4,No
S00093,41,Male,High School,Python Basics,235,2,92,7,85,Low,100,Kinesthetic,4,Yes
S00094,49,Female,Undergraduate,Python Basics,379,5,81,4,68,High,100,Kinesthetic,4,No
S00095,15,Female,Undergraduate,Data Science,224,2,79,3,100,Medium,100,Kinesthetic,4,No
S00096,49,Male,Postgraduate,Machine Learning,523,2,47,5,90,High,100,Visual,5,Yes
S00097,28,Female,Postgraduate,Machine Learning,230,5,80,4,94,High,100,Kinesthetic,5,No
S00098,17,Male,High School,Python Basics,402,5,53,4,75,Low,100,Visual,5,Yes
S00099,15,Male,Undergraduate,Data Science,384,3,76,7,78,Medium,100,Reading/Writing,5,No
S00100,19,Male,High School,Python Basics,331,1,38,9,85,Medium,99,Visual,5,Yes
S00101,40,Female,High School,Data Science,232,4,62,0,40,Medium,91,Reading/Writing,5,Yes
S00102,28,Male,Undergraduate,Python Basics,284,4,37,2,71,High,92,Reading/Writing,4,Yes
S00103,41,Male,High School,Data Science,84,4,54,4,53,Medium,34,Kinesthetic,1,Yes
S00104,23,Male,High School,Data Science,322,2,42,4,82,Medium,100,Kinesthetic,5,Yes
S00105,29,Female,Postgraduate,Machine Learning,334,5,79,3,65,High,100,Visual,5,No
S00106,29,Female,Undergraduate,Python Basics,313,5,71,2,80,Low,100,Auditory,5,Yes
S00107,40,Female,Undergraduate,Machine Learning,50,5,62,8,67,High,46,Kinesthetic,2,No
S00108,27,Female,High School,Machine Learning,173,1,63,8,100,Medium,90,Kinesthetic,4,No
S00109,46,Female,High School,Data Science,225,5,57,3,100,High,86,Auditory,4,No
S00110,46,Female,Postgraduate,Python Basics,329,5,74,5,96,Medium,100,Auditory,5,No
S00111,18,Female,High School,Data Science,328,2,62,6,95,Low,100,Kinesthetic,5,Yes
S00112,44,Male,Undergraduate,Data Science,282,3,100,4,84,Medium,100,Auditory,4,No
S00113,37,Male,High School,Data Science,363,4,92,4,74,Low,100,Visual,5,Yes
S00114,29,Male,Undergraduate,Python Basics,197,2,78,4,53,High,100,Reading/Writing,5,Yes
S00115,43,Male,High School,Python Basics,361,2,68,6,84,Low,100,Reading/Writing,5,Yes
S00116,27,Female,Postgraduate,Data Science,347,2,70,6,77,High,100,Kinesthetic,4,No
S00117,46,Male,Postgraduate,Python Basics,337,4,86,5,86,Medium,100,Kinesthetic,5,No
S00118,21,Male,Undergraduate,Data Science,281,2,68,2,71,Medium,95,Visual,5,No
S00119,36,Male,High School,Python Basics,483,3,71,1,59,Low,100,Auditory,5,Yes
S00120,42,Male,Postgraduate,Python Basics,349,5,61,5,63,Medium,100,Kinesthetic,5,No
S00121,16,Female,Undergraduate,Machine Learning,203,3,55,2,100,Medium,94,Reading/Writing,3,No
S00122,20,Female,Undergraduate,Data Science,324,5,68,7,100,Medium,100,Visual,4,No
S00123,42,Female,Undergraduate,Machine Learning,375,5,30,7,54,High,100,Visual,4,Yes
S00124,42,Male,High School,Machine Learning,241,2,63,3,71,Medium,78,Auditory,4,No
S00125,34,Female,High School,Data Science,408,2,60,10,54,Medium,100,Kinesthetic,4,Yes
S00126,44,Male,Undergraduate,Data Science,338,4,81,8,84,Medium,100,Kinesthetic,4,No
S00127,25,Female,High School,Python Basics,65,1,80,6,84,Low,75,Visual,3,Yes
S00128,42,Female,Undergraduate,Data Science,329,3,100,2,83,High,100,Reading/Writing,5,No
S00129,39,Female,Undergraduate,Machine Learning,259,4,76,5,75,Medium,100,Kinesthetic,5,No
S00130,47,Female,Postgraduate,Machine Learning,353,4,70,9,85,Low,97,Reading/Writing,4,Yes
S00131,15,Female,Postgraduate,Data Science,394,3,57,5,90,Medium,100,Visual,4,No
S00132,41,Male,Postgraduate,Machine Learning,319,3,50,6,90,Medium,100,Kinesthetic,5,No
S00133,27,Female,High School,Python Basics,466,5,83,11,100,Medium,100,Reading/Writing,4,No
S00134,17,Male,High School,Machine Learning,282,1,61,3,75,Medium,100,Visual,5,No
S00135,20,Male,Undergraduate,Python Basics,362,2,70,7,73,Low,100,Reading/Writing,5,Yes
S00136,22,Male,High School,Machine Learning,380,1,62,6,95,Medium,100,Kinesthetic,4,No
S00137,41,Male,High School,Python Basics,290,1,62,11,72,High,93,Auditory,5,No
S00138,23,Male,Undergraduate,Python Basics,377,2,67,5,78,Low,100,Reading/Writing,5,Yes
S00139,47,Female,Undergraduate,Data Science,240,1,68,8,73,High,84,Auditory,4,No
S00140,38,Female,Postgraduate,Python Basics,257,4,82,4,100,Low,100,Kinesthetic,4,Yes
S00141,29,Female,High School,Data Science,168,4,49,6,88,High,89,Auditory,2,Yes
S00142,46,Female,High School,Machine Learning,324,2,72,3,65,Medium,100,Visual,5,No
S00143,46,Male,High School,Machine Learning,332,2,44,6,79,Medium,100,Auditory,5,Yes
S00144,38,Female,Postgraduate,Machine Learning,417,3,76,8,88,Low,100,Reading/Writing,5,Yes
S00145,26,Female,Undergraduate,Python Basics,379,3,70,2,65,Low,100,Reading/Writing,3,Yes
S00146,16,Male,Postgraduate,Machine Learning,271,1,60,4,86,Medium,94,Auditory,5,No
S00147,17,Male,Postgraduate,Machine Learning,182,1,61,3,78,Low,84,Visual,5,Yes
S00148,31,Female,Undergraduate,Data Science,343,2,66,4,63,Medium,90,Kinesthetic,5,No
S00149,16,Female,Undergraduate,Data Science,411,1,78,8,62,Medium,100,Auditory,4,No
S00150,16,Male,Undergraduate,Machine Learning,375,5,85,8,100,Medium,100,Reading/Writing,5,No
S00151,42,Female,Undergraduate,Machine Learning,408,4,81,1,70,High,100,Reading/Writing,4,No
S00152,37,Female,Undergraduate,Python Basics,278,1,41,4,94,Medium,100,Auditory,4,Yes
S00153,46,Female,Undergraduate,Python Basics,253,1,70,7,91,Medium,93,Auditory,3,No
S00154,47,Female,Postgraduate,Machine Learning,226,3,30,6,68,Medium,66,Auditory,4,Yes
S00155,15,Male,Postgraduate,Data Science,294,5,38,9,86,Medium,100,Kinesthetic,4,Yes
S00156,33,Male,Undergraduate,Machine Learning,292,1,78,7,87,Medium,100,Reading/Writing,5,No
S00157,16,Male,Undergraduate,Python Basics,320,4,46,10,93,High,99,Reading/Writing,5,Yes
S00158,40,Female,Undergraduate,Data Science,287,1,59,6,83,Medium,100,Reading/Writing,5,No
S00159,46,Female,High School,Data Science,286,2,85,12,78,Low,100,Kinesthetic,5,Yes
S00160,20,Female,High School,Python Basics,222,5,78,8,100,Medium,100,Visual,5,No
S00161,46,Female,Undergraduate,Machine Learning,394,1,67,3,92,Medium,100,Reading/Writing,5,No
S00162,18,Female,Undergraduate,Machine Learning,307,5,69,3,72,High,100,Reading/Writing,5,No
S00163,25,Male,High School,Machine Learning,282,1,63,8,78,High,99,Visual,3,No
S00164,31,Female,Postgraduate,Python Basics,225,4,58,2,100,Low,100,Kinesthetic,5,Yes
S00165,38,Female,High School,Data Science,166,4,60,4,100,Low,84,Visual,4,Yes
S00166,19,Male,High School,Python Basics,430,5,71,4,79,Medium,100,Visual,5,No
S00167,48,Female,Undergraduate,Machine Learning,355,3,69,5,89,Medium,100,Visual,5,No
S00168,20,Male,High School,Python Basics,137,3,63,6,86,Medium,73,Visual,3,No
S00169,36,Male,High School,Data Science,376,2,30,4,61,High,100,Kinesthetic,5,Yes
S00170,25,Male,Undergraduate,Python Basics,392,3,89,7,91,Medium,100,Kinesthetic,5,No
S00171,30,Male,Undergraduate,Machine Learning,312,5,84,7,51,Medium,100,Visual,5,Yes
S00172,47,Male,Undergraduate,Data Science,459,3,62,6,94,Low,100,Auditory,5,Yes
S00173,23,Female,Undergraduate,Python Basics,321,2,78,3,90,High,100,Auditory,5,No
S00174,20,Male,Undergraduate,Python Basics,158,1,56,6,35,Medium,49,Auditory,4,Yes
S00175,30,Male,High School,Data Science,336,3,70,4,67,High,96,Auditory,5,No
S00176,43,Female,Postgraduate,Data Science,324,5,41,5,52,Medium,100,Reading/Writing,5,Yes
S00177,17,Female,High School,Machine Learning,239,5,73,4,66,Medium,100,Kinesthetic,5,No
S00178,34,Male,Postgraduate,Data Science,357,2,59,5,82,High,100,Kinesthetic,5,No
S00179,33,Female,Undergraduate,Machine Learning,133,2,67,6,100,High,97,Visual,5,No
S00180,40,Female,Postgraduate,Python Basics,399,4,93,3,92,Medium,100,Reading/Writing,3,No
S00181,17,Male,High School,Machine Learning,212,4,67,5,76,Medium,98,Visual,5,No
S00182,33,Male,Undergraduate,Python Basics,201,4,61,3,91,High,91,Visual,2,No
S00183,34,Female,High School,Data Science,288,1,55,2,89,Medium,80,Kinesthetic,3,No
S00184,46,Male,High School,Python Basics,343,5,48,5,100,Low,100,Reading/Writing,4,Yes
S00185,21,Male,Undergraduate,Data Science,316,4,74,8,94,High,100,Auditory,5,No
S00186,47,Female,High School,Python Basics,225,5,78,4,82,Low,99,Kinesthetic,5,Yes
S00187,32,Male,Undergraduate,Python Basics,249,2,64,4,58,Low,83,Reading/Writing,2,Yes
S00188,15,Male,High School,Python Basics,186,1,75,6,100,Low,96,Reading/Writing,4,Yes
S00189,25,Male,Undergraduate,Python Basics,277,2,77,0,80,Medium,100,Kinesthetic,5,No
S00190,42,Male,Undergraduate,Machine Learning,407,5,71,4,68,Medium,100,Kinesthetic,5,No
S00191,39,Male,Undergraduate,Python Basics,299,4,76,3,52,Medium,100,Visual,5,Yes
S00192,37,Female,Undergraduate,Machine Learning,385,2,96,4,67,Medium,100,Visual,4,No
S00193,45,Female,Undergraduate,Data Science,445,3,53,4,86,Medium,100,Visual,5,No
S00194,44,Male,Postgraduate,Data Science,241,1,73,7,76,Medium,94,Auditory,4,No
S00195,49,Female,Undergraduate,Machine Learning,281,5,71,6,96,Low,100,Kinesthetic,5,Yes
S00196,21,Male,Undergraduate,Data Science,517,4,83,6,100,High,100,Reading/Writing,5,No
S00197,30,Male,Postgraduate,Data Science,444,2,52,4,48,Medium,100,Kinesthetic,4,Yes
S00198,40,Male,Undergraduate,Python Basics,132,1,65,5,66,High,69,Reading/Writing,3,No
S00199,16,Male,Undergraduate,Python Basics,338,4,57,4,82,Low,100,Auditory,5,Yes
S00200,15,Male,Undergraduate,Python Basics,300,2,37,10,100,High,100,Kinesthetic,5,Yes
S00201,26,Female,Undergraduate,Machine Learning,382,5,91,5,71,Medium,100,Reading/Writing,5,No
S00202,19,Female,Undergraduate,Machine Learning,225,3,59,6,84,Low,98,Reading/Writing,5,Yes
S00203,46,Male,High School,Data Science,216,3,53,11,63,High,94,Visual,4,No
S00204,23,Female,High School,Python Basics,232,5,61,2,79,High,100,Auditory,5,No
S00205,49,Male,Postgraduate,Machine Learning,242,1,89,2,85,Medium,98,Kinesthetic,5,No
S00206,33,Female,High School,Machine Learning,381,5,89,3,79,High,100,Visual,5,No
S00207,30,Male,Undergraduate,Python Basics,181,2,60,6,100,Medium,96,Auditory,4,No
S00208,17,Female,Undergraduate,Machine Learning,237,1,74,6,100,High,100,Visual,5,No
S00209,34,Male,Undergraduate,Python Basics,121,3,49,4,75,Medium,61,Kinesthetic,5,Yes
S00210,38,Male,High School,Data Science,400,2,71,3,78,Medium,100,Reading/Writing,5,No
S00211,47,Female,High School,Data Science,427,4,61,8,93,Medium,100,Kinesthetic,4,No
S00212,38,Female,Postgraduate,Data Science,267,4,74,3,83,Medium,100,Auditory,5,No
S00213,25,Male,Postgraduate,Python Basics,270,4,47,6,79,High,89,Kinesthetic,4,Yes
S00214,22,Female,Undergraduate,Machine Learning,345,3,57,5,70,Low,100,Auditory,5,Yes
S00215,34,Male,Undergraduate,Data Science,447,5,72,3,91,Low,100,Visual,5,Yes
S00216,49,Female,Undergraduate,Data Science,340,1,64,5,71,Medium,100,Auditory,5,No
S00217,39,Female,Undergraduate,Data Science,230,3,44,5,69,Medium,78,Reading/Writing,5,Yes
S00218,49,Male,Undergraduate,Machine Learning,138,2,49,3,84,Low,73,Reading/Writing,3,Yes
S00219,39,Female,High School,Machine Learning,188,2,70,3,84,Medium,89,Reading/Writing,5,No
S00220,43,Female,Undergraduate,Python Basics,307,4,72,5,82,High,100,Visual,5,No
S00221,32,Male,Undergraduate,Data Science,234,1,71,6,54,Medium,96,Auditory,4,Yes
S00222,32,Female,Postgraduate,Machine Learning,319,4,70,5,85,Medium,100,Visual,5,No
S00223,16,Male,High School,Python Basics,244,2,48,4,49,High,95,Kinesthetic,5,Yes
S00224,49,Male,Undergraduate,Data Science,194,2,58,3,96,Medium,98,Kinesthetic,5,No
S00225,30,Male,Undergraduate,Machine Learning,182,5,77,6,74,High,72,Kinesthetic,4,No
S00226,47,Male,Undergraduate,Machine Learning,456,5,54,4,82,High,100,Kinesthetic,3,No
S00227,18,Male,High School,Python Basics,388,5,53,8,71,Medium,100,Reading/Writing,4,No
S00228,47,Female,Undergraduate,Data Science,473,4,63,5,85,Medium,100,Auditory,5,No
S00229,28,Male,Undergraduate,Data Science,353,1,66,8,63,Medium,100,Reading/Writing,5,No
S00230,35,Male,Undergraduate,Machine Learning,257,5,42,3,100,Medium,97,Auditory,5,Yes
S00231,34,Female,Undergraduate,Data Science,432,3,62,6,70,High,100,Auditory,4,No
S00232,22,Female,Undergraduate,Python Basics,296,5,77,5,95,Medium,100,Visual,5,No
S00233,21,Female,Undergraduate,Machine Learning,322,4,78,4,66,Medium,100,Kinesthetic,5,No
S00234,17,Male,Postgraduate,Machine Learning,295,1,46,6,73,Medium,100,Auditory,3,Yes
S00235,31,Male,Undergraduate,Python Basics,50,5,75,4,71,Low,63,Kinesthetic,3,Yes
S00236,47,Male,High School,Machine Learning,460,1,76,4,73,Low,100,Kinesthetic,5,Yes
S00237,26,Female,Undergraduate,Data Science,349,3,75,4,88,High,100,Kinesthetic,5,No
S00238,36,Male,High School,Data Science,332,2,57,3,87,Medium,100,Reading/Writing,3,No
S00239,36,Female,Undergraduate,Machine Learning,293,1,26,6,83,Medium,95,Kinesthetic,5,Yes
S00240,44,Male,High School,Python Basics,316,5,73,6,69,Medium,95,Auditory,5,No
S00241,22,Female,High School,Python Basics,240,4,91,4,86,High,100,Reading/Writing,5,No
S00242,41,Male,Postgraduate,Data Science,361,4,80,7,70,Medium,100,Kinesthetic,4,No
S00243,41,Male,High School,Python Basics,169,4,79,5,100,High,75,Visual,5,No
S00244,48,Male,Undergraduate,Machine Learning,318,4,70,7,68,Medium,100,Kinesthetic,4,No
S00245,35,Female,High School,Machine Learning,356,1,75,1,75,High,100,Kinesthetic,5,No
S00246,44,Female,Undergraduate,Data Science,280,4,72,6,83,Medium,100,Reading/Writing,5,No
S00247,47,Male,Undergraduate,Data Science,337,2,37,6,63,Medium,100,Auditory,4,Yes
S00248,42,Male,Undergraduate,Data Science,200,3,79,6,92,Medium,94,Kinesthetic,4,No
S00249,47,Male,Undergraduate,Python Basics,203,1,49,4,96,Medium,94,Reading/Writing,5,Yes
S00250,19,Female,High School,Machine Learning,323,1,63,7,68,Low,100,Reading/Writing,5,Yes
S00251,33,Male,Undergraduate,Machine Learning,367,4,79,7,72,Medium,100,Auditory,5,No
S00252,18,Male,High School,Machine Learning,112,4,56,4,98,Medium,79,Reading/Writing,5,No
S00253,49,Male,Undergraduate,Data Science,352,1,47,6,81,Low,100,Auditory,5,Yes
S00254,31,Male,Undergraduate,Machine Learning,245,4,75,3,79,High,91,Visual,5,No
S00255,42,Female,Postgraduate,Python Basics,280,4,51,3,68,Medium,100,Kinesthetic,4,No
S00256,44,Female,High School,Python Basics,166,4,65,9,75,High,71,Reading/Writing,3,No
S00257,43,Male,Undergraduate,Machine Learning,214,4,84,6,81,Medium,100,Visual,4,No
S00258,20,Male,High School,Data Science,396,4,92,4,93,Medium,100,Reading/Writing,5,No
S00259,49,Female,Undergraduate,Machine Learning,303,5,43,1,79,Medium,100,Reading/Writing,5,Yes
S00260,38,Female,Undergraduate,Python Basics,261,5,66,10,67,Medium,70,Visual,3,No
S00261,43,Male,Postgraduate,Python Basics,288,5,89,1,76,High,100,Reading/Writing,5,No
S00262,45,Female,High School,Python Basics,348,1,56,4,63,Medium,100,Reading/Writing,3,No
S00263,49,Female,High School,Machine Learning,344,3,77,5,80,High,100,Visual,5,No
S00264,47,Male,Undergraduate,Python Basics,292,1,75,6,100,High,100,Reading/Writing,4,No
S00265,35,Female,High School,Data Science,409,5,60,2,100,Medium,100,Auditory,5,No
S00266,46,Female,High School,Machine Learning,397,1,68,2,86,High,100,Reading/Writing,5,No
S00267,37,Male,Undergraduate,Machine Learning,341,3,73,2,57,Medium,100,Kinesthetic,3,Yes
S00268,47,Male,High School,Python Basics,305,4,81,9,96,High,100,Reading/Writing,4,No
S00269,17,Female,High School,Python Basics,365,2,39,6,88,High,100,Kinesthetic,5,Yes
S00270,32,Male,Undergraduate,Data Science,331,5,89,5,100,Low,100,Kinesthetic,5,Yes
S00271,39,Female,Undergraduate,Machine Learning,406,5,80,5,84,High,100,Reading/Writing,4,No
S00272,45,Male,High School,Python Basics,389,3,49,4,73,Medium,100,Visual,4,Yes
S00273,17,Female,High School,Data Science,198,4,66,7,66,Medium,78,Auditory,4,No
S00274,38,Male,Undergraduate,Python Basics,191,4,80,7,95,Medium,100,Auditory,4,No
S00275,46,Female,High School,Machine Learning,229,2,47,5,76,Low,90,Reading/Writing,5,Yes
S00276,36,Female,Undergraduate,Python Basics,397,4,54,6,76,Medium,100,Visual,5,No
S00277,37,Female,High School,Machine Learning,142,3,66,10,74,High,73,Visual,5,No
S00278,16,Male,Undergraduate,Python Basics,339,4,61,2,100,Low,100,Auditory,5,Yes
S00279,41,Male,Undergraduate,Machine Learning,336,3,69,3,75,Medium,100,Visual,5,No
S00280,16,Female,Undergraduate,Data Science,416,5,82,7,93,Low,100,Reading/Writing,4,Yes
S00281,40,Female,Postgraduate,Machine Learning,318,5,74,10,89,Medium,100,Reading/Writing,5,No
S00282,31,Male,Undergraduate,Data Science,165,5,69,6,48,High,63,Visual,3,Yes
S00283,47,Male,High School,Machine Learning,204,1,74,1,100,High,94,Reading/Writing,3,No
S00284,23,Male,High School,Data Science,181,5,68,5,54,High,83,Kinesthetic,4,Yes
S00285,43,Male,Undergraduate,Python Basics,246,3,54,7,66,Medium,83,Auditory,5,No
S00286,40,Male,High School,Machine Learning,281,2,81,1,75,Medium,100,Reading/Writing,4,No
S00287,49,Male,High School,Python Basics,183,4,31,8,67,High,78,Visual,5,Yes
S00288,39,Female,Undergraduate,Data Science,447,5,70,7,78,High,100,Auditory,5,No
S00289,38,Male,Undergraduate,Machine Learning,167,1,56,6,69,Medium,66,Reading/Writing,3,No
S00290,27,Female,Undergraduate,Machine Learning,434,1,48,4,100,Medium,100,Auditory,5,Yes
S00291,21,Male,Undergraduate,Python Basics,418,3,70,5,90,High,100,Visual,5,No
S00292,34,Male,Undergraduate,Machine Learning,389,2,70,3,72,High,100,Kinesthetic,5,No
